rrtmg_band,dge_um,single_scattering_albedo,asymmetry_parameter,extinction_coefficient_per_iwc,source_reference,source_path,source_sha
24,5.0,0.9999978,0.7568829,0.5042067,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,8.0,0.9999965,0.7597947,0.3151195,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,11.0,0.9999952,0.7626745,0.2291708,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,14.0,0.9999939,0.7655212,0.1800573,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,17.0,0.9999926,0.7683337,0.1482779,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,20.0,0.9999913,0.7711111,0.1260324,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,23.0,0.99999,0.7738523,0.10959,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,26.0,0.9999887,0.7765565,0.09694202,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,29.0,0.9999873,0.7792225,0.08691087,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,32.0,0.999986,0.7818494,0.07876056,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,35.0,0.9999847,0.7844362,0.07200745,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,38.0,0.9999834,0.7869819,0.06632062,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,41.0,0.9999821,0.7894854,0.061466,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,44.0,0.9999808,0.7919459,0.05727338,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,47.0,0.9999795,0.7943623,0.05361599,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,50.0,0.9999782,0.7967337,0.05039749,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,53.0,0.9999769,0.799059,0.04754334,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
24,56.0,0.9999756,0.8013373,0.044995,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90,GeosRad/rrtmg_sw_init.F90::swcldpr::extice3/ssaice3/asyice3,0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
