wavelength_nm,maximum_dimension_um,effective_diameter_um,effective_radius_um,ice_habit,surface_roughness,mass_extinction_coefficient_m2_kg,single_scattering_albedo,asymmetry_parameter,source_dataset,source_version,source_record_provenance
550,2.0,0.24422079136757066,0.12211039568378533,10_plates,Rough000,2988.4668600965065,0.99999998,0.74780467,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,2.0,0.24422079136757066,0.12211039568378533,10_plates,Rough000,2681.28906615948,0.999999955,0.741223095,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,2.0,0.24422079136757066,0.12211039568378533,10_plates,Rough000,2410.5733531342194,0.99999993,0.73385712,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,2.0,0.24422079136757066,0.12211039568378533,10_plates,Rough000,1964.4253190374523,0.99999981,0.71897425,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,2.0,0.24422079136757066,0.12211039568378533,10_plates,Rough000,1629.4488555107732,0.99999957,0.7057884,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,2.0,0.24422079136757066,0.12211039568378533,10_plates,Rough000,1362.6850431761266,0.99999904,0.69819541,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,3.0,0.36633118323038416,0.18316559161519208,10_plates,Rough000,4600.4892537249425,0.99999998,0.80966868,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,3.0,0.36633118323038416,0.18316559161519208,10_plates,Rough000,4217.517596878407,0.99999997,0.8023513499999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,3.0,0.36633118323038416,0.18316559161519208,10_plates,Rough000,3881.3652671421632,0.99999995,0.79537769,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,3.0,0.36633118323038416,0.18316559161519208,10_plates,Rough000,3286.5191212206455,0.99999988,0.78304826,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,3.0,0.36633118323038416,0.18316559161519208,10_plates,Rough000,2789.820037249286,0.99999973,0.77346044,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,3.0,0.36633118323038416,0.18316559161519208,10_plates,Rough000,2389.545044914779,0.99999941,0.76303185,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,4.0,0.4884415802353589,0.24422079011767944,10_plates,Rough000,5320.344958687482,0.99999998,0.85220633,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,4.0,0.4884415802353589,0.24422079011767944,10_plates,Rough000,5019.688348579841,0.9999999749999999,0.8465148499999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,4.0,0.4884415802353589,0.24422079011767944,10_plates,Rough000,4713.642265391667,0.99999996,0.84098711,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,4.0,0.4884415802353589,0.24422079011767944,10_plates,Rough000,4155.139405136042,0.9999999,0.82841626,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,4.0,0.4884415802353589,0.24422079011767944,10_plates,Rough000,3655.6313990650715,0.99999979,0.8170395,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,4.0,0.4884415802353589,0.24422079011767944,10_plates,Rough000,3213.338043235788,0.99999954,0.80624353,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
